partId,challonge_id,gg_discriminator,display_name
117454365,,2233f81b,SwtLou
117436254,,,BBBBBAKA
119072362,,,<removed>
157793778,5247809,,Ropi
151157547,4456991,,xd_techno
98989967,4154197,,Gander
195178151,6687950,,based registeel
195178423,5415253,,BigMike
181089903,5415253,,BigMike
181091063,5789827,,Very Epic
149032204,3163951,,AL
98574705,,d2772db2,Akuji
98578651,943520,,tater
177558390,5103817,,Pepogen
179599945,,,devino
181580438,,,cheusandks;ad
179023578,5415253,,Uranus_69
179023892,5363935,,masoff
96062469,912594,,InFLicTedToasT
144144810,3341760,,rypper
132124228,1287667,,SteemStream
132357798,4058773,,Loopy?
226232323,5789827,,very epic
226232324,3163951,,AlluringLynx
226232325,3341760,,Rypper1234
226232326,3423262,,Desselie
226232327,5363935,,Masoff
226232328,1068767,,aTastyT0ast
226232329,4873327,,Encrian
226232330,6315006,,Cubical
112430653,3921241,,Bullshit1001
276301541,4734634,,Just Gas
276301540,3935736,,Southpyne
276301534,3161229,,coffeeground
276301537,1222913,,Scooter
276301538,943520,,Mercy
276301539,912594,,InFlicTedToast
276301535,3165961,,DK
276301544,3427061,,Bungis
276301536,,d2772db2,Akuji
276301543,2745041,,Preheat
276301545,2586555,132c9268,Connie
276301542,,,AEM
